# 47.0,30.0,4.0,lengthwise,18.0,3.0,"{""shape"": ""rhombus"", ""turn_radius"": 4.5, ""polygon"": [[8.0, 0.0], [48.0, 0.0], [55.0, 30.0], [15.0, 30.0]]}"
x,y,type
0.0,0.0,2
0.945,0.326,2
1.891,0.652,2
2.836,0.978,2
8.7,3.0,0
9.518,3.0,0
10.336,3.0,0
11.155,3.0,0
11.973,3.0,0
12.791,3.0,0
13.609,3.0,0
14.427,3.0,0
15.245,3.0,0
16.064,3.0,0
16.882,3.0,0
17.7,3.0,0
18.518,3.0,0
19.336,3.0,0
20.155,3.0,0
20.973,3.0,0
21.791,3.0,0
22.609,3.0,0
23.427,3.0,0
24.245,3.0,0
25.064,3.0,0
25.882,3.0,0
26.7,3.0,0
26.7,3.0,0
27.515,3.0,0
28.33,3.0,0
29.144,3.0,0
29.959,3.0,0
30.774,3.0,0
31.589,3.0,0
32.404,3.0,0
33.219,3.0,0
34.033,3.0,0
34.848,3.0,0
35.663,3.0,0
36.478,3.0,0
37.293,3.0,0
38.107,3.0,0
38.922,3.0,0
39.737,3.0,0
40.552,3.0,0
41.367,3.0,0
42.181,3.0,0
42.996,3.0,0
43.811,3.0,0
44.626,3.0,0
45.441,3.0,0
46.256,3.0,0
47.07,3.0,0
47.885,3.0,0
48.7,3.0,0
48.742,3.042,1
48.779,3.097,1
48.813,3.166,1
48.842,3.248,1
48.868,3.342,1
48.889,3.449,1
48.908,3.567,1
48.923,3.697,1
48.934,3.839,1
48.943,3.991,1
48.949,4.153,1
48.953,4.325,1
48.954,4.507,1
48.952,4.699,1
48.949,4.899,1
48.943,5.108,1
48.936,5.324,1
48.927,5.549,1
48.917,5.781,1
48.906,6.02,1
48.893,6.265,1
48.879,6.517,1
48.865,6.775,1
48.85,7.038,1
48.835,7.306,1
48.82,7.58,1
48.804,7.857,1
48.789,8.139,1
48.774,8.424,1
48.759,8.712,1
48.745,9.003,1
48.732,9.297,1
48.72,9.593,1
48.709,9.891,1
48.699,10.19,1
48.691,10.49,1
48.684,10.791,1
48.68,11.092,1
48.677,11.393,1
48.677,11.693,1
48.679,11.993,1
48.683,12.291,1
48.69,12.587,1
48.7,12.882,1
48.713,13.174,1
48.73,13.464,1
48.749,13.75,1
48.772,14.033,1
48.799,14.312,1
48.83,14.587,1
48.865,14.857,1
48.905,15.123,1
48.948,15.382,1
48.997,15.637,1
49.05,15.885,1
49.108,16.126,1
49.171,16.361,1
49.239,16.588,1
49.313,16.808,1
49.393,17.02,1
49.478,17.223,1
49.569,17.418,1
49.667,17.603,1
49.771,17.78,1
49.881,17.946,1
49.998,18.102,1
50.122,18.247,1
50.253,18.381,1
50.391,18.504,1
50.536,18.616,1
50.689,18.715,1
50.85,18.801,1
51.018,18.875,1
51.195,18.936,1
51.38,18.983,1
51.573,19.016,1
51.775,19.034,1
51.985,19.038,1
52.205,19.027,1
52.433,19.0,1
52.433,19.0,0
51.633,19.0,0
50.833,19.0,0
50.033,19.0,0
49.233,19.0,0
48.433,19.0,0
47.633,19.0,0
46.833,19.0,0
46.033,19.0,0
45.233,19.0,0
44.433,19.0,0
43.633,19.0,0
42.833,19.0,0
42.033,19.0,0
41.233,19.0,0
40.433,19.0,0
39.633,19.0,0
38.833,19.0,0
38.033,19.0,0
37.233,19.0,0
36.433,19.0,0
35.633,19.0,0
34.833,19.0,0
34.033,19.0,0
33.233,19.0,0
32.433,19.0,0
31.633,19.0,0
30.833,19.0,0
30.033,19.0,0
29.233,19.0,0
28.433,19.0,0
27.633,19.0,0
26.833,19.0,0
26.033,19.0,0
25.233,19.0,0
24.433,19.0,0
23.633,19.0,0
22.833,19.0,0
22.033,19.0,0
21.233,19.0,0
20.433,19.0,0
19.633,19.0,0
18.833,19.0,0
18.033,19.0,0
17.233,19.0,0
16.433,19.0,0
15.633,19.0,0
14.833,19.0,0
14.033,19.0,0
13.233,19.0,0
12.433,19.0,0
12.392,18.956,1
12.357,18.894,1
12.327,18.814,1
12.302,18.718,1
12.282,18.605,1
12.266,18.477,1
12.255,18.334,1
12.248,18.177,1
12.244,18.006,1
12.243,17.822,1
12.246,17.627,1
12.251,17.419,1
12.258,17.201,1
12.268,16.973,1
12.279,16.735,1
12.292,16.489,1
12.306,16.234,1
12.321,15.971,1
12.336,15.702,1
12.351,15.427,1
12.367,15.146,1
12.382,14.86,1
12.396,14.57,1
12.409,14.277,1
12.421,13.981,1
12.432,13.682,1
12.44,13.382,1
12.446,13.082,1
12.45,12.781,1
12.451,12.48,1
12.449,12.181,1
12.443,11.883,1
12.433,11.588,1
12.42,11.297,1
12.402,11.009,1
12.379,10.725,1
12.351,10.447,1
12.318,10.174,1
12.28,9.908,1
12.235,9.649,1
12.185,9.398,1
12.128,9.155,1
12.063,8.922,1
11.992,8.698,1
11.914,8.485,1
11.827,8.283,1
11.733,8.093,1
11.63,7.915,1
11.519,7.751,1
11.398,7.6,1
11.269,7.464,1
11.129,7.343,1
10.98,7.238,1
10.821,7.149,1
10.651,7.077,1
10.47,7.024,1
10.279,6.988,1
10.075,6.972,1
9.86,6.976,1
9.633,7.0,1
9.633,7.0,0
10.433,7.0,0
11.233,7.0,0
12.033,7.0,0
12.833,7.0,0
13.633,7.0,0
14.433,7.0,0
15.233,7.0,0
16.033,7.0,0
16.833,7.0,0
17.633,7.0,0
18.433,7.0,0
19.233,7.0,0
20.033,7.0,0
20.833,7.0,0
21.633,7.0,0
22.433,7.0,0
23.233,7.0,0
24.033,7.0,0
24.833,7.0,0
25.633,7.0,0
26.433,7.0,0
27.233,7.0,0
28.033,7.0,0
28.833,7.0,0
29.633,7.0,0
30.433,7.0,0
31.233,7.0,0
32.033,7.0,0
32.833,7.0,0
33.633,7.0,0
34.433,7.0,0
35.233,7.0,0
36.033,7.0,0
36.833,7.0,0
37.633,7.0,0
38.433,7.0,0
39.233,7.0,0
40.033,7.0,0
40.833,7.0,0
41.633,7.0,0
42.433,7.0,0
43.233,7.0,0
44.033,7.0,0
44.833,7.0,0
45.633,7.0,0
46.433,7.0,0
47.233,7.0,0
48.033,7.0,0
48.833,7.0,0
49.633,7.0,0
49.675,7.042,1
49.713,7.097,1
49.746,7.166,1
49.775,7.248,1
49.801,7.342,1
49.823,7.449,1
49.841,7.567,1
49.856,7.697,1
49.868,7.839,1
49.877,7.991,1
49.883,8.153,1
49.886,8.325,1
49.887,8.507,1
49.886,8.699,1
49.882,8.899,1
49.877,9.108,1
49.869,9.324,1
49.861,9.549,1
49.85,9.781,1
49.839,10.02,1
49.826,10.265,1
49.813,10.517,1
49.799,10.775,1
49.784,11.038,1
49.768,11.306,1
49.753,11.58,1
49.738,11.857,1
49.722,12.139,1
49.707,12.424,1
49.693,12.712,1
49.679,13.003,1
49.665,13.297,1
49.653,13.593,1
49.642,13.891,1
49.633,14.19,1
49.624,14.49,1
49.618,14.791,1
49.613,15.092,1
49.61,15.393,1
49.61,15.693,1
49.612,15.993,1
49.616,16.291,1
49.623,16.587,1
49.633,16.882,1
49.647,17.174,1
49.663,17.464,1
49.683,17.75,1
49.706,18.033,1
49.733,18.312,1
49.764,18.587,1
49.799,18.857,1
49.838,19.123,1
49.882,19.382,1
49.93,19.637,1
49.983,19.885,1
50.041,20.126,1
50.104,20.361,1
50.173,20.588,1
50.247,20.808,1
50.326,21.02,1
50.411,21.223,1
50.503,21.418,1
50.6,21.603,1
50.704,21.78,1
50.814,21.946,1
50.931,22.102,1
51.055,22.247,1
51.186,22.381,1
51.324,22.504,1
51.47,22.616,1
51.623,22.715,1
51.783,22.801,1
51.952,22.875,1
52.128,22.936,1
52.313,22.983,1
52.506,23.016,1
52.708,23.034,1
52.919,23.038,1
53.138,23.027,1
53.367,23.0,1
53.367,23.0,0
52.567,23.0,0
51.767,23.0,0
50.967,23.0,0
50.167,23.0,0
49.367,23.0,0
48.567,23.0,0
47.767,23.0,0
46.967,23.0,0
46.167,23.0,0
45.367,23.0,0
44.567,23.0,0
43.767,23.0,0
42.967,23.0,0
42.167,23.0,0
41.367,23.0,0
40.567,23.0,0
39.767,23.0,0
38.967,23.0,0
38.167,23.0,0
37.367,23.0,0
36.567,23.0,0
35.767,23.0,0
34.967,23.0,0
34.167,23.0,0
33.367,23.0,0
32.567,23.0,0
31.767,23.0,0
30.967,23.0,0
30.167,23.0,0
29.367,23.0,0
28.567,23.0,0
27.767,23.0,0
26.967,23.0,0
26.167,23.0,0
25.367,23.0,0
24.567,23.0,0
23.767,23.0,0
22.967,23.0,0
22.167,23.0,0
21.367,23.0,0
20.567,23.0,0
19.767,23.0,0
18.967,23.0,0
18.167,23.0,0
17.367,23.0,0
16.567,23.0,0
15.767,23.0,0
14.967,23.0,0
14.167,23.0,0
13.367,23.0,0
13.326,22.956,1
13.29,22.894,1
13.26,22.814,1
13.235,22.718,1
13.215,22.605,1
13.2,22.477,1
13.188,22.334,1
13.181,22.177,1
13.177,22.006,1
13.177,21.822,1
13.179,21.627,1
13.184,21.419,1
13.192,21.201,1
13.201,20.973,1
13.213,20.735,1
13.225,20.489,1
13.239,20.234,1
13.254,19.971,1
13.269,19.702,1
13.285,19.427,1
13.3,19.146,1
13.315,18.86,1
13.329,18.57,1
13.343,18.277,1
13.355,17.981,1
13.365,17.682,1
13.373,17.382,1
13.38,17.082,1
13.383,16.781,1
13.384,16.48,1
13.382,16.181,1
13.376,15.883,1
13.367,15.588,1
13.353,15.297,1
13.335,15.009,1
13.312,14.725,1
13.285,14.447,1
13.252,14.174,1
13.213,13.908,1
13.169,13.649,1
13.118,13.398,1
13.061,13.155,1
12.997,12.922,1
12.926,12.698,1
12.847,12.485,1
12.761,12.283,1
12.666,12.093,1
12.564,11.915,1
12.452,11.751,1
12.332,11.6,1
12.202,11.464,1
12.063,11.343,1
11.914,11.238,1
11.754,11.149,1
11.584,11.077,1
11.404,11.024,1
11.212,10.988,1
11.009,10.972,1
10.794,10.976,1
10.567,11.0,1
10.567,11.0,0
11.367,11.0,0
12.167,11.0,0
12.967,11.0,0
13.767,11.0,0
14.567,11.0,0
15.367,11.0,0
16.167,11.0,0
16.967,11.0,0
17.767,11.0,0
18.567,11.0,0
19.367,11.0,0
20.167,11.0,0
20.967,11.0,0
21.767,11.0,0
22.567,11.0,0
23.367,11.0,0
24.167,11.0,0
24.967,11.0,0
25.767,11.0,0
26.567,11.0,0
27.367,11.0,0
28.167,11.0,0
28.967,11.0,0
29.767,11.0,0
30.567,11.0,0
31.367,11.0,0
32.167,11.0,0
32.967,11.0,0
33.767,11.0,0
34.567,11.0,0
35.367,11.0,0
36.167,11.0,0
36.967,11.0,0
37.767,11.0,0
38.567,11.0,0
39.367,11.0,0
40.167,11.0,0
40.967,11.0,0
41.767,11.0,0
42.567,11.0,0
43.367,11.0,0
44.167,11.0,0
44.967,11.0,0
45.767,11.0,0
46.567,11.0,0
47.367,11.0,0
48.167,11.0,0
48.967,11.0,0
49.767,11.0,0
50.567,11.0,0
50.609,11.042,1
50.646,11.097,1
50.679,11.166,1
50.709,11.248,1
50.734,11.342,1
50.756,11.449,1
50.774,11.567,1
50.789,11.697,1
50.801,11.839,1
50.81,11.991,1
50.816,12.153,1
50.819,12.325,1
50.82,12.507,1
50.819,12.699,1
50.815,12.899,1
50.81,13.108,1
50.803,13.324,1
50.794,13.549,1
50.784,13.781,1
50.772,14.02,1
50.76,14.265,1
50.746,14.517,1
50.732,14.775,1
50.717,15.038,1
50.702,15.306,1
50.686,15.58,1
50.671,15.857,1
50.656,16.139,1
50.64,16.424,1
50.626,16.712,1
50.612,17.003,1
50.599,17.297,1
50.587,17.593,1
50.576,17.891,1
50.566,18.19,1
50.558,18.49,1
50.551,18.791,1
50.546,19.092,1
50.544,19.393,1
50.543,19.693,1
50.545,19.993,1
50.55,20.291,1
50.557,20.587,1
50.567,20.882,1
50.58,21.174,1
50.596,21.464,1
50.616,21.75,1
50.639,22.033,1
50.666,22.312,1
50.697,22.587,1
50.732,22.857,1
50.771,23.123,1
50.815,23.382,1
50.863,23.637,1
50.916,23.885,1
50.974,24.126,1
51.038,24.361,1
51.106,24.588,1
51.18,24.808,1
51.259,25.02,1
51.345,25.223,1
51.436,25.418,1
51.534,25.603,1
51.637,25.78,1
51.748,25.946,1
51.865,26.102,1
51.989,26.247,1
52.12,26.381,1
52.258,26.504,1
52.403,26.616,1
52.556,26.715,1
52.717,26.801,1
52.885,26.875,1
53.062,26.936,1
53.247,26.983,1
53.44,27.016,1
53.642,27.034,1
53.852,27.038,1
54.071,27.027,1
54.3,27.0,1
54.3,27.0,0
53.5,27.0,0
52.7,27.0,0
51.9,27.0,0
51.1,27.0,0
50.3,27.0,0
49.5,27.0,0
48.7,27.0,0
47.9,27.0,0
47.1,27.0,0
46.3,27.0,0
45.5,27.0,0
44.7,27.0,0
43.9,27.0,0
43.1,27.0,0
42.3,27.0,0
41.5,27.0,0
40.7,27.0,0
39.9,27.0,0
39.1,27.0,0
38.3,27.0,0
37.5,27.0,0
36.7,27.0,0
35.9,27.0,0
35.1,27.0,0
34.3,27.0,0
33.5,27.0,0
32.7,27.0,0
31.9,27.0,0
31.1,27.0,0
30.3,27.0,0
29.5,27.0,0
28.7,27.0,0
27.9,27.0,0
27.1,27.0,0
26.3,27.0,0
25.5,27.0,0
24.7,27.0,0
23.9,27.0,0
23.1,27.0,0
22.3,27.0,0
21.5,27.0,0
20.7,27.0,0
19.9,27.0,0
19.1,27.0,0
18.3,27.0,0
17.5,27.0,0
16.7,27.0,0
15.9,27.0,0
15.1,27.0,0
14.3,27.0,0
14.259,26.956,1
14.223,26.894,1
14.193,26.814,1
14.169,26.718,1
14.149,26.605,1
14.133,26.477,1
14.122,26.334,1
14.114,26.177,1
14.11,26.006,1
14.11,25.822,1
14.112,25.627,1
14.118,25.419,1
14.125,25.201,1
14.135,24.973,1
14.146,24.735,1
14.159,24.489,1
14.172,24.234,1
14.187,23.971,1
14.202,23.702,1
14.218,23.427,1
14.233,23.146,1
14.248,22.86,1
14.263,22.57,1
14.276,22.277,1
14.288,21.981,1
14.298,21.682,1
14.307,21.382,1
14.313,21.082,1
14.317,20.781,1
14.318,20.48,1
14.315,20.181,1
14.309,19.883,1
14.3,19.588,1
14.286,19.297,1
14.268,19.009,1
14.246,18.725,1
14.218,18.447,1
14.185,18.174,1
14.146,17.908,1
14.102,17.649,1
14.051,17.398,1
13.994,17.155,1
13.93,16.922,1
13.859,16.698,1
13.78,16.485,1
13.694,16.283,1
13.6,16.093,1
13.497,15.915,1
13.385,15.751,1
13.265,15.6,1
13.135,15.464,1
12.996,15.343,1
12.847,15.238,1
12.688,15.149,1
12.518,15.077,1
12.337,15.024,1
12.145,14.988,1
11.942,14.972,1
11.727,14.976,1
11.5,15.0,1
11.5,15.0,0
12.3,15.0,0
13.1,15.0,0
13.9,15.0,0
14.7,15.0,0
15.5,15.0,0
16.3,15.0,0
17.1,15.0,0
17.9,15.0,0
18.7,15.0,0
19.5,15.0,0
20.3,15.0,0
21.1,15.0,0
21.9,15.0,0
22.7,15.0,0
23.5,15.0,0
24.3,15.0,0
25.1,15.0,0
25.9,15.0,0
26.7,15.0,0
27.5,15.0,0
28.3,15.0,0
29.1,15.0,0
29.9,15.0,0
30.7,15.0,0
31.5,15.0,0
32.3,15.0,0
33.1,15.0,0
33.9,15.0,0
34.7,15.0,0
35.5,15.0,0
36.3,15.0,0
37.1,15.0,0
37.9,15.0,0
38.7,15.0,0
39.5,15.0,0
40.3,15.0,0
41.1,15.0,0
41.9,15.0,0
42.7,15.0,0
43.5,15.0,0
44.3,15.0,0
45.1,15.0,0
45.9,15.0,0
46.7,15.0,0
47.5,15.0,0
48.3,15.0,0
49.1,15.0,0
49.9,15.0,0
50.7,15.0,0
51.5,15.0,0
